"AT_ID","DIVISION","YEAR","DEPARTURE_AIRPORT","STOPOVER_1","STOPOVER_2","ARRIVAL_AIRPORT","JOURNEY_TYPE","FLIGHT_CLASS","PASSENGER_TYPE","TRAVEL_REASON_1","TRAVEL_REASON_2","REMARKS","DISTANCE_KM","EMISSIONS_KGCO2EQ"
16,"PhysicalGeography",2017,"ZRH",,,"ARN","One-way","Economy","Sonstige am Institut beschäftigte Person mit Doktortitel","Feldarbeit/Exkursion",,,1537,323
17,"PhysicalGeography",2017,"HEL",,,"ZRH","One-way","Economy","Sonstige am Institut beschäftigte Person mit Doktortitel","Feldarbeit/Exkursion",,,1828,474
18,"PhysicalGeography",2017,"ZRH",,,"BDS","Hin- und Rückflug","Economy","Sonstige am Institut beschäftigte Person ohne Doktortitel (ohne Doktorierende)","Lehrveranstaltungen (z.B. Summer School, Kolloquium, Einzelvortrag)",,,2228,379
19,"PhysicalGeography",2017,"ZRH",,,"BOS","Hin- und Rückflug","Economy","Sonstige am Institut beschäftigte Person ohne Doktortitel (ohne Doktorierende)","Workshop",,,12112,3253
20,"PhysicalGeography",2017,"ZRH",,,"UME","Hin- und Rückflug","Economy","Sonstige am Institut beschäftigte Person ohne Doktortitel (ohne Doktorierende)","Feldarbeit/Exkursion",,,4012,871
21,"PhysicalGeography",2017,"VIE","FRA",,"ABZ","One-way","Economy","Sonstige am Institut beschäftigte Person ohne Doktortitel (ohne Doktorierende)","Lehrveranstaltungen (z.B. Summer School, Kolloquium, Einzelvortrag)",,,1786,402
22,"PhysicalGeography",2017,"ABZ","FRA",,"ZRH","One-way","Economy","Sonstige am Institut beschäftigte Person ohne Doktortitel (ohne Doktorierende)","Lehrveranstaltungen (z.B. Summer School, Kolloquium, Einzelvortrag)",,,1451,319
23,"PhysicalGeography",2017,"ZRH","AMS","NYC","MSY","One-way","Economy","Sonstige am Institut beschäftigte Person mit Doktortitel","Konferenz",,,8499,1927
24,"PhysicalGeography",2017,"MSY","ATL","AMS","ZRH","One-way","Economy","Sonstige am Institut beschäftigte Person mit Doktortitel","Konferenz",,,8496,1789
25,"PhysicalGeography",2017,"ZRH","ARN",,"UME","One-way","Economy","Sonstige am Institut beschäftigte Person ohne Doktortitel (ohne Doktorierende)","feldarbeit/Exkursion",,,2062,447
26,"PhysicalGeography",2017,"ZRH",,,"OSL","Hin- und Rückflug","Economy","Sonstige am Institut beschäftigte Person mit Doktortitel","Workshop",,,2948,638
27,"PhysicalGeography",2017,"ZRH","ORD",,"PDX","One-way","Economy","Sonstige am Institut beschäftigte Person ohne Doktortitel (ohne Doktorierende)","Projektmeeting",,,10017,2404
28,"PhysicalGeography",2017,"PDX","IAH",,"MSY","One-way","Economy","Sonstige am Institut beschäftigte Person ohne Doktortitel (ohne Doktorierende)","Feldarbeit/Exkursion",,,3520,617
29,"PhysicalGeography",2017,"MSY","EWR",,"ZRH","One-way","Economy","Sonstige am Institut beschäftigte Person ohne Doktortitel (ohne Doktorierende)","Konferenz",,,8303,2458
30,"PhysicalGeography",2017,"LON","ZRH",,,"One-way","Economy","Sonstige am Institut beschäftigte Person mit Doktortitel","Projektmeeting",,,839,196
31,"PhysicalGeography",2017,"ZRH","SHA","AKL","WLG","One-Way","Economy","Sonstige am Institut beschäftigte Person mit Doktortitel","Konferenz",,,19039,4896
32,"PhysicalGeography",2017,"WLG","AKL","HKG","ZRH","One-Way","Economy","Sonstige am Institut beschäftigte Person mit Doktortitel",,,,19070,5115
33,"PhysicalGeography",2017,"ZRH",,,"BRU","One-way","Economy","Sonstige am Institut beschäftigte Person mit Doktortitel","Projektmeeting",,,533,126
34,"PhysicalGeography",2017,"ZRH",,,"VIE","Hin- und Rückflug","Economy","Sonstige am Institut beschäftigte Person mit Doktortitel","Konferenz",,,1308,259
35,"PhysicalGeography",2017,"ZRH",,,"SHA","Hin- und Rückflug","Economy","Sonstige am Institut beschäftigte Person mit Doktortitel","Konferenz","Feldarbeit/Exkursion",,18116,4648
36,"PhysicalGeography",2017,"ZRH",,,"BRU","One-way","Economy","Sonstige am Institut beschäftigte Person mit Doktortitel","Projektmeeting",,,533,126
37,"PhysicalGeography",2017,"CUN",,,"ZRH","One-way","Economy","Sonstige am Institut beschäftigte Person ohne Doktortitel (ohne Doktorierende)","Feldarbeit/Exkursion",,,8742,2224
38,"PhysicalGeography",2017,"ZRH","KEF",,"DEN","Hin- und Rückflug","Economy","Sonstige am Institut beschäftigte Person mit Doktortitel","Projektmeeting",,,16972,3789
39,"PhysicalGeography",2017,"DEN","FRA",,"VIE","Hin- und Rückflug","Economy","Nicht an der UZH angestellte Person (z.B. Gast, externe Doktorierende)","Konferenz","Weiteres",,17610,4157
40,"PhysicalGeography",2017,"ZRH",,,"VIE","Hin- und Rückflug","Economy","Sonstige am Institut beschäftigte Person ohne Doktortitel (ohne Doktorierende)","Konferenz",,,1308,259
41,"PhysicalGeography",2017,"ZRH","AMS","LIM","CUZ","Hin- und Rückflug","Economy","Sonstige am Institut beschäftigte Person mit Doktortitel","Feldarbeit/Exkursion","Weiteres",,23696,4950
42,"PhysicalGeography",2017,"CUZ",,,"LIM","Hin- und Rückflug","Economy","Sonstige am Institut beschäftigte Person ohne Doktortitel (ohne Doktorierende)","Feldarbeit/Exkursion",,,1268,266
43,"PhysicalGeography",2017,"LIM",,,"CUZ","Hin- und Rückflug","Economy","Sonstige am Institut beschäftigte Person ohne Doktortitel (ohne Doktorierende)","Feldarbeit/Exkursion",,,1268,266
44,"PhysicalGeography",2017,"ZRH","ARN",,"UME","Hin- und Rückflug","Economy","Nicht an der UZH angestellte Person (z.B. Gast, externe Doktorierende)","Feldarbeit/Exkursion",,,4124,894
45,"PhysicalGeography",2017,"ZRH","AMS",,"PDX","Hin- und Rückflug","Economy","ProfessorIn","Weiteres",,,17452,3797
46,"PhysicalGeography",2017,"TSE",,,"FRU","One-way","Economy","Sonstige am Institut beschäftigte Person mit Doktortitel","Konferenz",,,1009,239
47,"PhysicalGeography",2017,"ZRH","AMS",,"EBB","Hin- und Rückflug","Economy","Sonstige am Institut beschäftigte Person mit Doktortitel","Konferenz",,,14112,3262
48,"PhysicalGeography",2017,"GVA","FRA",,"TSE","One-way","Economy","Sonstige am Institut beschäftigte Person mit Doktortitel","Konferenz",,,4864,1181
49,"PhysicalGeography",2017,"ALA","FRA",,"ZRH","One-way","Economy","Sonstige am Institut beschäftigte Person mit Doktortitel","Konferenz",,,5472,1509
50,"PhysicalGeography",2017,"ZRH","CPH",,"JAV","Hin- und Rückflug","Economy","Sonstige am Institut beschäftigte Person mit Doktortitel","Feldarbeit/Exkursion",,,8938,1843
51,"PhysicalGeography",2017,"ZRH","CPH",,"JAV","Hin- und Rückflug","Economy","Sonstige am Institut beschäftigte Person mit Doktortitel","Feldarbeit/Exkursion",,,8938,1843
52,"PhysicalGeography",2017,"CPH",,,"ZRH","One-way","Economy","Sonstige am Institut beschäftigte Person ohne Doktortitel (ohne Doktorierende)","Feldarbeit/Exkursion",,,1011,211
53,"PhysicalGeography",2017,"ZRH","CPH",,"JAV","Hin- und Rückflug","Economy","ProfessorIn","Feldarbeit/Exkursion",,,8938,1843
54,"PhysicalGeography",2017,"ZRH","CPH",,"JAV","Hin- und Rückflug","Economy","Nicht an der UZH angestellte Person (z.B. Gast, externe Doktorierende)","Feldarbeit/Exkursion",,,8938,1843
55,"PhysicalGeography",2017,"ZRH","CPH",,"JAV","Hin- und Rückflug","Economy","Sonstige am Institut beschäftigte Person ohne Doktortitel (ohne Doktorierende)","Feldarbeit/Exkursion",,,8938,1843
56,"PhysicalGeography",2017,"ZRH","KEF",,"MSP","Hin- und Rückflug","Economy","Sonstige am Institut beschäftigte Person ohne Doktortitel (ohne Doktorierende)","Feldarbeit/Exkursion",,,14914,2835
57,"PhysicalGeography",2017,"ZRH","KEF",,"MSP","Hin- und Rückflug","Economy","Sonstige am Institut beschäftigte Person mit Doktortitel","Feldarbeit/Exkursion",,,14914,2835
58,"PhysicalGeography",2017,"ZRH","AMS",,"ABZ","Hin- und Rückflug","Economy","Sonstige am Institut beschäftigte Person ohne Doktortitel (ohne Doktorierende)","Lehrveranstaltungen (z.B. Summer School, Kolloquium, Einzelvortrag)",,,2808,659
59,"PhysicalGeography",2017,"ZRH","AMS",,"LIM","Hin- und Rückflug","Economy","Sonstige am Institut beschäftigte Person mit Doktortitel","Feldarbeit/Exkursion",,,22428,4685
60,"PhysicalGeography",2017,"ZRH","CDG",,"LIM","Hin- und Rückflug","Economy","Nicht an der UZH angestellte Person (z.B. Gast, externe Doktorierende)","Feldarbeit/Exkursion",,,21724,5771
61,"PhysicalGeography",2017,"CUZ","LPB",,,"One-way","Economy","Sonstige am Institut beschäftigte Person ohne Doktortitel (ohne Doktorierende)","Feldarbeit/Exkursion",,,572,133
62,"PhysicalGeography",2017,"CUZ","LPB",,,"One-way","Economy","Nicht an der UZH angestellte Person (z.B. Gast, externe Doktorierende)","Feldarbeit/Exkursion",,,572,133
63,"PhysicalGeography",2017,"LIM","CUZ",,,"Hin- und Rückflug","Economy","Nicht an der UZH angestellte Person (z.B. Gast, externe Doktorierende)","Feldarbeit/Exkursion",,,1268,266
64,"PhysicalGeography",2017,"LIM","CUZ",,,"Hin- und Rückflug","Economy","Sonstige am Institut beschäftigte Person ohne Doktortitel (ohne Doktorierende)","Feldarbeit/Exkursion",,,1268,266
65,"PhysicalGeography",2017,"ZRH","MAD","LIM","CUZ","Hin- und Rückflug","Economy","Sonstige am Institut beschäftigte Person mit Doktortitel","Feldarbeit/Exkursion",,,22978,5286
66,"PhysicalGeography",2017,"ZRH","MAD","LIM","CUZ","Hin- und Rückflug","Economy","Sonstige am Institut beschäftigte Person mit Doktortitel","Feldarbeit/Exkursion",,,22978,5286
67,"PhysicalGeography",2017,"CUN","LIM","MAD","VIE","One-way","Economy","Sonstige am Institut beschäftigte Person ohne Doktortitel (ohne Doktorierende)","Feldarbeit/Exkursion",,,15295,3414
68,"PhysicalGeography",2017,"LIM","CUZ",,,"Hin- und Rückflug","Economy","Sonstige am Institut beschäftigte Person ohne Doktortitel (ohne Doktorierende)","Feldarbeit/Exkursion",,,1268,266
69,"PhysicalGeography",2017,"ZRH","AMS","LIM","CUZ","Hin- und Rückflug","Economy","Sonstige am Institut beschäftigte Person ohne Doktortitel (ohne Doktorierende)","Feldarbeit/Exkursion",,,23696,4950
70,"PhysicalGeography",2017,"ZRH","AMS",,"LIM","One-way","Economy","Sonstige am Institut beschäftigte Person mit Doktortitel","Feldarbeit/Exkursion",,,11214,2342
71,"PhysicalGeography",2017,"LIM","ATL","NYC","ZRH","One-way","Economy","Sonstige am Institut beschäftigte Person mit Doktortitel","Feldarbeit/Exkursion","Konferenz",,12822,2867
72,"PhysicalGeography",2017,"ZRH","AMS","LIM","CUZ","Hin- und Rückflug","Economy","Nicht an der UZH angestellte Person (z.B. Gast, externe Doktorierende)","Feldarbeit/Exkursion",,,23696,4950
73,"PhysicalGeography",2017,"BOG","LIM",,"CUZ","Hin- und Rückflug","Economy","Nicht an der UZH angestellte Person (z.B. Gast, externe Doktorierende)","Feldarbeit/Exkursion","Workshop",,5140,1048
74,"PhysicalGeography",2017,"LIM",,,"CUZ","Hin- und Rückflug","Economy","Nicht an der UZH angestellte Person (z.B. Gast, externe Doktorierende)","Feldarbeit/Exkursion","Workshop",,1268,266
75,"PhysicalGeography",2017,"LIM",,,"BOG","One-way","Economy","Sonstige am Institut beschäftigte Person ohne Doktortitel (ohne Doktorierende)","Feldarbeit/Exkursion",,,1936,391
76,"PhysicalGeography",2017,"LIM",,,"CUZ","One-way","Economy","Sonstige am Institut beschäftigte Person ohne Doktortitel (ohne Doktorierende)","Feldarbeit/Exkursion",,,634,133
77,"PhysicalGeography",2017,"ZRH","MAD","LIM","CUZ","Hin- und Rückflug","Economy","Nicht an der UZH angestellte Person (z.B. Gast, externe Doktorierende)","Feldarbeit/Exkursion",,,22978,5286
78,"PhysicalGeography",2017,"ZRH",,,"ARN","Hin- und Rückflug","Economy","ProfessorIn","Projektmeeting",,,3074,646
79,"PhysicalGeography",2017,"ZRH",,,"VIE","Hin- und Rückflug","Economy","Sonstige am Institut beschäftigte Person mit Doktortitel","Konferenz",,,1308,259
80,"PhysicalGeography",2017,"ZRH",,,"ARN","One-way","Economy","Sonstige am Institut beschäftigte Person mit Doktortitel","Konferenz","Projektmeeting",,1537,323
81,"PhysicalGeography",2017,"ZRH","AMS",,"LIM","Hin- und Rückflug","Economy","Nicht an der UZH angestellte Person (z.B. Gast, externe Doktorierende)","Feldarbeit/Exkursion",,,22428,4685
82,"PhysicalGeography",2017,"ZRH","AMS",,"LIM","Hin- und Rückflug","Economy","Nicht an der UZH angestellte Person (z.B. Gast, externe Doktorierende)","Feldarbeit/Exkursion",,,22428,4685
83,"PhysicalGeography",2017,"GVA","AMS",,"LIM","Hin- und Rückflug","Economy","Nicht an der UZH angestellte Person (z.B. Gast, externe Doktorierende)","Feldarbeit/Exkursion",,,22586,4752
84,"PhysicalGeography",2017,"ZRH","AMS",,"LIM","One-way","Economy","Sonstige am Institut beschäftigte Person ohne Doktortitel (ohne Doktorierende)","Feldarbeit/Exkursion",,,11214,2342
85,"PhysicalGeography",2017,"BOG","AMS",,"ZRH","One-way","Economy","Sonstige am Institut beschäftigte Person ohne Doktortitel (ohne Doktorierende)","Feldarbeit/Exkursion",,,9555,2419
86,"PhysicalGeography",2017,"ZRH","AMS",,"LIM","Hin- und Rückflug","Economy","Sonstige am Institut beschäftigte Person ohne Doktortitel (ohne Doktorierende)","Feldarbeit/Exkursion",,,22428,4685
87,"PhysicalGeography",2017,"LIM",,,"CUZ","Hin- und Rückflug","Economy","Nicht an der UZH angestellte Person (z.B. Gast, externe Doktorierende)","Feldarbeit/Exkursion",,,1268,266
88,"PhysicalGeography",2017,"ZRH",,,"LHR","Hin- und Rückflug","Economy","Sonstige am Institut beschäftigte Person ohne Doktortitel (ohne Doktorierende)","Workshop",,,1670,331
89,"PhysicalGeography",2017,"ZRH",,,"BJS","Hin- und Rückflug","Economy","Sonstige am Institut beschäftigte Person mit Doktortitel","Projektmeeting","Feldarbeit/Exkursion",,16066,4001
90,"PhysicalGeography",2017,"ZRH",,,"BJS","Hin- und Rückflug","Economy","Sonstige am Institut beschäftigte Person mit Doktortitel","Projektmeeting","Feldarbeit/Exkursion",,16066,4001
91,"PhysicalGeography",2017,"BSL",,,"TLS","Hin- und Rückflug","Economy","Sonstige am Institut beschäftigte Person mit Doktortitel","Projektmeeting",,,1404,325
92,"PhysicalGeography",2017,"CPH",,,"BSL","Hin- und Rückflug","Economy","Sonstige am Institut beschäftigte Person mit Doktortitel","Projektmeeting",,,2018,477
93,"PhysicalGeography",2017,"ZRH",,,"CPH","Hin- und Rückflug","Economy","Sonstige am Institut beschäftigte Person mit Doktortitel","Projektmeeting",,,2022,422
94,"HumanGeography",2017,"ZRH",,,"JFK","Hin- und Rückflug","Economy","Sonstige am Institut beschäftigte Person mit Doktortitel","Konferenz",,,12710,2882
95,"HumanGeography",2017,"LGA",,,"BOS","Hin- und Rückflug","Economy","Sonstige am Institut beschäftigte Person mit Doktortitel","Konferenz",,,692,125
96,"HumanGeography",2017,"ZRH",,,"DUB","Hin- und Rückflug","Economy","Sonstige am Institut beschäftigte Person mit Doktortitel","Konferenz",,,2572,480
97,"HumanGeography",2017,"ADD","IST",,"ZRH","Hin- und Rückflug","Economy","Sonstige am Institut beschäftigte Person mit Doktortitel","Lehrveranstaltungen (z.B. Summer School, Kolloquium, Einzelvortrag)",,,11100,2034
98,"HumanGeography",2017,"ZRH",,,"LCY","One-way","Economy","Sonstige am Institut beschäftigte Person mit Doktortitel","Konferenz",,,808,218
99,"HumanGeography",2017,"LHR",,,"ZRH","One-way","Economy","Sonstige am Institut beschäftigte Person mit Doktortitel","Konferenz",,,835,166
100,"HumanGeography",2017,"ZRH",,,"LHR","Hin- und Rückflug","Economy","Sonstige am Institut beschäftigte Person mit Doktortitel","Konferenz",,,1670,331
101,"HumanGeography",2017,"ZRH",,,"ARN","Hin- und Rückflug","Economy","Doktorierende","Lehrveranstaltungen (z.B. Summer School, Kolloquium, Einzelvortrag)",,,3074,646
102,"HumanGeography",2017,"ZRH","AMS",,"BRU","Hin- und Rückflug","Economy","Doktorierende","Konferenz",,,1716,366
103,"HumanGeography",2017,"ZRH","CDG",,"OUA","Hin- und Rückflug","Economy","Sonstige am Institut beschäftigte Person mit Doktortitel","Feldarbeit/Exkursion",,,9328,2050
104,"HumanGeography",2017,"ZRH","MCT",,"KTM","Hin- und Rückflug","Economy","Doktorierende","Konferenz",,,15950,3361
105,"HumanGeography",2017,"CMB","DXB",,"ZRH","Hin- und Rückflug","Economy","Nicht an der UZH angestellte Person (z.B. Gast, externe Doktorierende)","Workshop",,,16306,3694
106,"HumanGeography",2017,"CPH",,,"ZRH","Hin- und Rückflug","Economy","Nicht an der UZH angestellte Person (z.B. Gast, externe Doktorierende)","Prüfungsabnahme",,,2022,422
107,"HumanGeography",2017,"ZRH","DXB",,"CMB","Hin- und Rückflug","Economy","ProfessorIn","Projektmeeting",,,16306,3694
108,"HumanGeography",2017,"CMB",,,"KTM","One-way","Economy","Nicht an der UZH angestellte Person (z.B. Gast, externe Doktorierende)","Konferenz",,,2435,517
109,"HumanGeography",2017,"TRV",,,"CMB","One-way","Economy","Nicht an der UZH angestellte Person (z.B. Gast, externe Doktorierende)","Konferenz",,,406,67
110,"HumanGeography",2017,"ZRH","DOH",,"CMB","Hin- und Rückflug","Economy","Sonstige am Institut beschäftigte Person ohne Doktortitel (ohne Doktorierende)","Feldarbeit/Exkursion",,,16410,3654
111,"HumanGeography",2017,"ZRH","QRA",,"ERS","Hin- und Rückflug","Economy","Sonstige am Institut beschäftigte Person ohne Doktortitel (ohne Doktorierende)","Feldarbeit/Exkursion",,,19454,4857
112,"HumanGeography",2017,"CMB","IST",,"ZRH","Hin- und Rückflug","Economy","Nicht an der UZH angestellte Person (z.B. Gast, externe Doktorierende)","Feldarbeit/Exkursion",,,16364,3657
113,"HumanGeography",2017,"ZRH",,,"BRU","One-way","Economy","Sonstige am Institut beschäftigte Person mit Doktortitel","Feldarbeit/Exkursion",,,533,126
114,"HumanGeography",2017,"BRU",,,"BLQ","One-way","Economy","Sonstige am Institut beschäftigte Person mit Doktortitel","Feldarbeit/Exkursion",,,921,307
115,"HumanGeography",2017,"ZRH","FRA ",,"LUX","Hin- und Rückflug","Economy","Sonstige am Institut beschäftigte Person mit Doktortitel","Konferenz",,,1120,184
116,"HumanGeography",2017,"ZRH","FRA ",,"YVR","One-way","Economy","ProfessorIn","Feldarbeit/Exkursion",,,8445,1978
117,"HumanGeography",2017,"YVR",,,"YUL","One-way","Economy","ProfessorIn","Konferenz",,,3731,688
118,"HumanGeography",2017,"YUL",,,"ZRH","One-way","Economy","ProfessorIn","Feldarbeit/Exkursion",,,6042,1514
119,"HumanGeography",2017,"ZRH",,,"NUE","Hin- und Rückflug","Economy","ProfessorIn","Konferenz",,,686,131
120,"HumanGeography",2017,"ZRH",,,"AMS","Hin- und Rückflug","Economy","Doktorierende","Konferenz",,,1304,288
121,"HumanGeography",2017,"ZRH",,,"AMS","One-way","Economy","ProfessorIn","Konferenz",,,652,144
122,"HumanGeography",2017,"ZRH",,,"YUL","Hin- und Rückflug","Economy","Doktorierende","Konferenz",,,12084,3027
123,"HumanGeography",2017,"TXL",,,"ZRH","One-way","Economy","Doktorierende","Workshop",,,710,142
124,"HumanGeography",2017,"ZRH","AMS",,"NCL","One-way","Economy","ProfessorIn","Konferenz",,,1222,322
125,"HumanGeography",2017,"MAN",,,"ZRH","One-way","Economy","ProfessorIn","Konferenz",,,1054,220
126,"HumanGeography",2017,"LHR",,,"ZRH","Hin- und Rückflug","Economy","Nicht an der UZH angestellte Person (z.B. Gast, externe Doktorierende)","Lehrveranstaltungen (z.B. Summer School, Kolloquium, Einzelvortrag)",,,1670,331
127,"HumanGeography",2017,"ZRH","FRA ",,"EZE","Hin- und Rückflug","Economy","Sonstige am Institut beschäftigte Person ohne Doktortitel (ohne Doktorierende)","Feldarbeit/Exkursion",,,23758,6299
128,"HumanGeography",2017,"PMR","AKL - HKG","LHR","ZRH","One-way","Economy","Nicht an der UZH angestellte Person (z.B. Gast, externe Doktorierende)","Weiteres",,"Zwischenlandung zwischen AKL und LHR in HKG angenommen",20149,5026
129,"HumanGeography",2017,"ZRH",,,"LAX","One-way","Economy","Nicht an der UZH angestellte Person (z.B. Gast, externe Doktorierende)","Weiteres",,,19158,5495
130,"HumanGeography",2017,"ZRH",,,"SVQ","Hin- und Rückflug","Economy","Sonstige am Institut beschäftigte Person ohne Doktortitel (ohne Doktorierende)","Feldarbeit/Exkursion",,,3346,740
131,"HumanGeography",2017,"TXL",,,"ZRH","Hin- und Rückflug","Economy","Nicht an der UZH angestellte Person (z.B. Gast, externe Doktorierende)","Prüfungsabnahme",,,1420,283
132,"HumanGeography",2017,"ZRH","MCT",,"DEL","Hin- und Rückflug","Economy","Sonstige am Institut beschäftigte Person ohne Doktortitel (ohne Doktorierende)","Feldarbeit/Exkursion",,,14372,3243
133,"HumanGeography",2017,"BLL","TXL",,"ZRH","One-way","Economy","Nicht an der UZH angestellte Person (z.B. Gast, externe Doktorierende)","Workshop",,,2408,511
134,"HumanGeography",2017,"ZRH","AMS",,"BLL","One-way","Economy","Nicht an der UZH angestellte Person (z.B. Gast, externe Doktorierende)","Workshop",,,2356,539
135,"HumanGeography",2017,"ZRH",,,"DEL","Hin- und Rückflug","Economy","Sonstige am Institut beschäftigte Person ohne Doktortitel (ohne Doktorierende)","Feldarbeit/Exkursion",,,12392,3072
136,"HumanGeography",2017,"DEL",,,"COK","Hin- und Rückflug","Economy","Sonstige am Institut beschäftigte Person ohne Doktortitel (ohne Doktorierende)","Feldarbeit/Exkursion",,,4190,762
137,"HumanGeography",2017,"ZRH",,,"HAM","One-way","Economy","Doktorierende","Feldarbeit/Exkursion",,,1484,318
138,"HumanGeography",2017,"ZRH",,,"DUB","Hin- und Rückflug","Economy","ProfessorIn","Konferenz",,,2572,480
139,"HumanGeography",2017,"DUS",,,"LHR","Hin- und Rückflug","Economy","Sonstige am Institut beschäftigte Person mit Doktortitel","Konferenz",,"LHR angenommen",1102,248
140,"HumanGeography",2017,"ZRH",,,"CGN","Hin- und Rückflug","Economy","ProfessorIn","Konferenz",,,886,194
141,"HumanGeography",2017,"ZRH",,,"SRZ","Hin- und Rückflug","Economy","ProfessorIn","Konferenz",,,20434,5417
142,"HumanGeography",2017,"ZRH",,,"LAX","One-way","Economy","Doktorierende","Konferenz",,,9579,2747
143,"HumanGeography",2017,"SBP","LAX",,"ZRH","One-way","Economy","Doktorierende","Konferenz",,,9878,2786
144,"HumanGeography",2017,"ZRH","JFK","MIA","LPB","Hin- und Rückflug","Economy","Doktorierende","Konferenz",,,26178,5533
145,"HumanGeography",2017,"ZRH","DOH",,"KTM","Hin- und Rückflug","Economy","ProfessorIn","Feldarbeit/Exkursion",,,15904,3602
146,"HumanGeography",2017,"ZRH","FCO","AUH","KTM","Hin- und Rückflug","Economy","Doktorierende","Feldarbeit/Exkursion",,,16482,3673
147,"HumanGeography",2017,"ZRH",,,"NAP","Hin- und Rückflug","Economy","Doktorierende","Workshop",,,1822,320
148,"HumanGeography",2017,"ZRH",,,"KTM","Hin- und Rückflug","Economy","Doktorierende","Feldarbeit/Exkursion",,,13760,3280
149,"HumanGeography",2017,"ZRH",,,"AMS","Hin- und Rückflug","Economy","Sonstige am Institut beschäftigte Person mit Doktortitel","Workshop",,,1304,288
150,"HumanGeography",2017,"CMB",,,"ZRH","Hin- und Rückflug","Economy","Doktorierende","Feldarbeit/Exkursion",,,16194,4042
151,"HumanGeography",2017,"GVA","AUH",,"MNL","Hin- und Rückflug","Economy","Sonstige am Institut beschäftigte Person ohne Doktortitel (ohne Doktorierende)","Feldarbeit/Exkursion",,,24010,5931
152,"HumanGeography",2017,"ZRH",,,"LRH","Hin- und Rückflug","Economy","Sonstige am Institut beschäftigte Person mit Doktortitel","Konferenz",,,1670,331
153,"HumanGeography",2017,"ZRH","MAD","LIM","CUZ","Hin- und Rückflug","Economy","Nicht an der UZH angestellte Person (z.B. Gast, externe Doktorierende)","Feldarbeit/Exkursion",,"Hin- und Rückflug angenommen",22978,5286
154,"HumanGeography",2017,"LRH",,,"ZRH","Hin- und Rückflug","Economy","Nicht an der UZH angestellte Person (z.B. Gast, externe Doktorierende)","Workshop",,,1640,383
155,"HumanGeography",2017,"ZRH",,,"DAR ","Hin- und Rückflug","Economy","Doktorierende","Feldarbeit/Exkursion",,,13616,3239
156,"HumanGeography",2017,"DEN","ORD",,"ZRH","One-way","Economy","Nicht an der UZH angestellte Person (z.B. Gast, externe Doktorierende)","Workshop",,,17304,4334
157,"HumanGeography",2017,"ZRH",,,"ARN","One-way","Economy","Nicht an der UZH angestellte Person (z.B. Gast, externe Doktorierende)","Workshop",,,3074,646
